"Milano Malpensa","Muscat Seeb","Oman","151.415"
"Roma Fiumicino","Hong Kong International","Hong Kong","149.763"
"Verona","Moscow Domodedovo","Russia","146.551"
"Venezia","Doha","Qatar","144.658"
"Milano Malpensa","Shangai Phudong","China","143.179"
"Roma Fiumicino","Shangai Phudong","China","137.618"
"Roma Fiumicino","Kiev Borispol","Ukraine","136.519"
"Bergamo","Moscow Vnukovo","Russia","133.273"
"Milano Malpensa","Casablanca Mohamed V","Morocco","132.728"
"Roma Fiumicino","Algiers Houari Boumediene","Algeria","132.549"
"Milano Malpensa","Newark International","Usa","131.803"
"Milano Malpensa","Miami International","Usa","128.719"
"Milano Malpensa","Tokyo Narita","Japan","128.117"
"Bergamo","Istanbul Sabiha","Turkey","127.437"
"Pisa","Tirana Rinas","Albania","123.927"
"Rimini","Moscow Domodedovo","Russia","123.557"
"Roma Fiumicino","Newark International","Usa","121.514"
"Bergamo","Tirana Rinas","Albania","121.035"
"Roma Fiumicino","Rio De Janeiro Internacional","Brazil","120.558"
"Roma Fiumicino","Tehran Imam Khomeini","Iran","120.278"
"Roma Fiumicino","Boston Logan International","Usa","118.827"
"Roma Fiumicino","Santiago Arturo Merino Benitez","Chile","118.596"
"Roma Fiumicino","St. Petersburg Pulkovo","Russia","118.463"
"Verona","Tirana Rinas","Albania","116.079"
"Bologna","Tirana Rinas","Albania","115.315"
"Milano Malpensa","Oslo Metropolitan Area","Norway","115.007"
"Roma Fiumicino","Los Angeles International","Usa","112.378"
"Milano Malpensa","Tunis Carthage","Tunisia","111.071"
"Roma Fiumicino","Bangkok International","Thailand","110.114"
"Napoli","Istanbul Ataturk","Turkey","108.473"
"Milano Malpensa","Kiev Borispol","Ukraine","107.755"
"Roma Fiumicino","Charlotte Douglas","Usa","105.622"
"Roma Fiumicino","Addis Ababa Bole","Ethiopia","105.331"
"Roma Fiumicino","Basel/Mulhouse Euroairport Swiss","Switzerland","104.952"
"Roma Fiumicino","Detroit Wayne County","Usa","103.907"
"Milano Malpensa","Beijing Capital","China","103.258"
"Catania","Geneva Cointrin","Switzerland","102.015"
"Milano Malpensa","Singapore Changi","Singapore","100.953"
"Milano Malpensa","Bangkok International","Thailand","99.367"
"Napoli","Basel/Mulhouse Euroairport Swiss","Switzerland","99.160"
"Milano Malpensa","Havana Jose Marti Intl","Cuba","97.956"
"Napoli","Geneva Cointrin","Switzerland","94.953"
"Bergamo","Marrakech Menara","Morocco","94.325"
"Roma Fiumicino","Washington Dulles Intl","Usa","93.193"
"Roma Fiumicino","Mexico City Juarez International","Mexico","92.255"
"Verona","Kishinev","Moldova","91.223"
"Venezia","New York John F Kennedy Intl","Usa","90.332"
"Milano Malpensa","St. Petersburg Pulkovo","Russia","88.838"
"Bologna","Istanbul Sabiha","Turkey","88.686"
