"Roma Fiumicino","Havana Jose Marti Intl","Cuba","86.862"
"Venezia","Geneva Cointrin","Switzerland","86.486"
"Roma Fiumicino","Delhi Indira Gandhi Intl","India","85.929"
"Napoli","Zurich","Switzerland","84.268"
"Venezia","Philadelphia International","Usa","84.054"
"Bologna","Kishinev","Moldova","83.408"
"Milano Malpensa","Delhi Indira Gandhi Intl","India","83.138"
"Milano Malpensa","Marrakech Menara","Morocco","82.865"
"Venezia","Toronto Pearson International","Canada","82.597"
"Brindisi","Geneva Cointrin","Switzerland","80.642"
"Roma Fiumicino","Amman Queen Alia Intl","Jordan","79.356"
"Venezia","Casablanca Mohamed V","Morocco","78.784"
"Catania","Istanbul Ataturk","Turkey","77.738"
"Bergamo","Casablanca Mohamed V","Morocco","75.087"
"Roma Fiumicino","Dallas Ft Worth Intl","Usa","74.575"
"Roma Fiumicino","Split Sinj","Croatia","74.392"
"Venezia","Tirana Rinas","Albania","74.069"
"Olbia","Geneva Cointrin","Switzerland","72.550"
"Venezia","Abu Dhabi International","United Arab Emirates","72.257"
"Verona","Tel Aviv Yafo Ben Gurion Intl","Israele","69.760"
"Pisa","Doha","Qatar","69.517"
"Milano Malpensa","Istanbul Sabiha","Turkey","69.078"
"Roma Fiumicino","Singapore Changi","Singapore","67.180"
"Milano Malpensa","Seoul","South Korea (Republic)","66.794"
"Milano Malpensa","Belgrade Beograd","Serbia","66.648"
"Roma Fiumicino","Kishinev","Moldova","63.938"
"Napoli","New York John F Kennedy Intl","Usa","62.474"
"Milano Malpensa","Tehran Imam Khomeini","Iran","62.055"
"Roma Fiumicino","Kiev Zhulhany","Ukraine","61.648"
"Olbia","Basel/Mulhouse Euroairport Swiss","Switzerland","60.504"
"Milano Malpensa","Toronto Pearson International","Canada","59.847"
"Catania","Zurich","Switzerland","58.772"
"Venezia","Tel Aviv Yafo Ben Gurion Intl","Israele","58.605"
"Milano Malpensa","Kishinev","Moldova","57.870"
"Napoli","Moscow Domodedovo","Russia","57.803"
"Venezia","Montreal Dorval","Canada","57.513"
"Milano Malpensa","Marsalam","Egypt","57.455"
"Venezia","Newark International","Usa","57.051"
"Bari","Tirana Rinas","Albania","56.344"
"Roma Fiumicino","Xi An Xianyang","China","56.135"
"Pisa","Moscow Vnukovo","Russia","56.101"
"Treviso","Kishinev","Moldova","56.077"
"Brindisi","Zurich","Switzerland","56.047"
"Roma Fiumicino","Dubrovnik","Croatia","55.415"
"Venezia","Kishinev","Moldova","54.348"
"Roma Fiumicino","Taipei Chiang Kai Shek","Taiwan (China)","51.171"
"Ancona","Tirana Rinas","Albania","50.386"
"Napoli","Casablanca Mohamed V","Morocco","50.246"
"Bergamo","Kishinev","Moldova","50.018"
